Journal ID,Journal Date,GL Account,Account Description,Amount,Line Description,Long Description,Operator ID,Operator,Line Number,Period,Year,Source,Journal Entry Date,Vendor ID,Vendor Name,Ref. / Invoice No / Voucher ID,Customer ID,Customer Name,Biller ID
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,118.08,Apple Magic Mouse - Black Mult,AP Voucher Accrual,FSBATC01,Ivan Tom,912,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,4.81,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,902,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,9.62,UPH - Standard Image Install,AP Voucher Accrual,FSBATC01,Ivan Tom,908,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,38.49,UPH - Software Co-ordination a,AP Voucher Accrual,FSBATC01,Ivan Tom,899,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,4.81,UPH - Asset Tag,AP Voucher Accrual,FSBATC01,Ivan Tom,897,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,120.27,UPH - Deployment To Your Desk,AP Voucher Accrual,FSBATC01,Ivan Tom,904,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,3410.55,"Apple 16"" MacBook Pro M2 Pro 1",AP Voucher Accrual,FSBATC01,Ivan Tom,910,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0515346,31/03/2023,2921,IT/ICT Equipment <$10k,279.04,"MacBook Pro 16"" 3-Year (total)",AP Voucher Accrual,FSBATC01,Ivan Tom,914,3,2023,AP,31/03/2023,53901,Computers Now Pty Ltd,K0606873,a4444444,George Holmes,004400
APA0514493,10/03/2023,2921,IT/ICT Equipment <$10k,337.55,Alogic Dual 4k Display Uni Doc,AP Voucher Accrual,FSBATC01,Ivan Tom,600,3,2023,AP,10/03/2023,53901,Computers Now Pty Ltd,K0599631,a5555555,Iris Jones,005500
APA0514493,10/03/2023,2921,IT/ICT Equipment <$10k,658.2,"HP E24 G4 23.8"" FHD IPS EYE",AP Voucher Accrual,FSBATC01,Ivan Tom,605,3,2023,AP,10/03/2023,53901,Computers Now Pty Ltd,K0599631,a5555555,Iris Jones,005500
APA0514493,10/03/2023,2921,IT/ICT Equipment <$10k,42.7,Logitech MK270R Wireless Keybo,AP Voucher Accrual,FSBATC01,Ivan Tom,604,3,2023,AP,10/03/2023,53901,Computers Now Pty Ltd,K0599631,a5555555,Iris Jones,005500
APA0514493,10/03/2023,2921,IT/ICT Equipment <$10k,2016.6,"Dell Latitude 7430 14"" NT i7 1",AP Voucher Accrual,FSBATC01,Ivan Tom,601,3,2023,AP,10/03/2023,53901,Computers Now Pty Ltd,K0599631,a5555555,Iris Jones,005500
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,205.05,HP 4y NBD Response OS support,AP Voucher Accrual,FSBATC01,Ivan Tom,212,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,66.53,UPH-Monitor / Dock Onsite Inst,AP Voucher Accrual,FSBATC01,Ivan Tom,218,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,6.65,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,229,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,442.5,Alogic Dual 4k Display Uni Doc,AP Voucher Accrual,FSBATC01,Ivan Tom,209,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,26.61,Logitech MK120 Corded USB Keyb,AP Voucher Accrual,FSBATC01,Ivan Tom,203,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,33.26,Firmware Update,AP Voucher Accrual,FSBATC01,Ivan Tom,200,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,6.65,UPH-New to Service Tagging,AP Voucher Accrual,FSBATC01,Ivan Tom,220,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,1089.36,"HP E34m G4 34"" WQHD CURVED 21",AP Voucher Accrual,FSBATC01,Ivan Tom,207,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0513232,10/02/2023,2921,IT/ICT Equipment <$10k,104.82,USB-C SLIM MULTI-PORT WITH ETH,AP Voucher Accrual,FSBATC01,Ivan Tom,205,2,2023,AP,10/02/2023,53901,Computers Now Pty Ltd,K0584226,a6666666,Katy Leon,006600
APA0512068,13/01/2023,2921,IT/ICT Equipment <$10k,172.27,PANDUIT-UTPSP1.5MYLY,AP Voucher Accrual,FSBATC01,Ivan Tom,3386,1,2023,AP,13/01/2023,53901,Computers Now Pty Ltd,K0577123,a7777777,Mike Newman,007700
APA0511773,10/01/2023,2921,IT/ICT Equipment <$10k,65.77,Logitech Multimedia Speakers Z,AP Voucher Accrual,FSBATC01,Ivan Tom,329,1,2023,AP,10/01/2023,643,Winc Australia Pty Ltd,K0576262,a8888888,Olaf Perrson,008800
EMSCQ58139,4/01/2023,2921,IT/ICT Equipment <$10k,180,Purchase Officeworks,Fraedom Card Acquittals,FSBATC01,Ivan Tom,91,1,2023,SPA,5/01/2023,2048,Officeworks Pty Ltd,9877654,a9999999,Quentin Ron,009900
